# Rime table
#@/db_name	cn_en.txt
#@/db_type	tabledb
#@/tick	0
ENSO循环	ensoxunhuan
方块A	fangkuaia
方块J	fangkuaij
QQ好友	QQhaoyou	0
QQ会员	QQhuiyuan	0
QQ空间	QQkongjian	0
QQ拼音	QQpinyin	0
QQ群	QQqun	0
QQ三国	QQsanguo	0
QQ输入法	QQshurufa	0
QQ堂	QQtang	0
QQ秀	QQxiu	0
QQ音速	QQyinsu	0
QQ音乐	QQyinyue	0
QQ游戏	QQyouxi	0
QQ邮箱	QQyouxiang	0
QQ游戏大厅	QQyouxidating	0
Q版	Qban	0
Q币	Qbi	0
Q弹	Qtan	0
Q我	Qwo	0
Return键	Returnjian	0
R级	Rji	0
SIM卡	SIMka	0
Server酱	Serverjiang	0
S股	Sgu	0
Shift键	Shiftjian	0
S级	Sji	0
S码	Sma	0
Space键	Spacejian	0
S曲线	Squxian	0
Steam云	Steamyun	0
Switch版	Switchban	0
Switch版本	Switchbanben	0
S形	Sxing	0
TF版	TFban	0
TF版本	TFbanben	0
TF卡	TFka	0
TG群	TGqun	0
TV版	TVban	0
TV版本	TVbanben	0
Tab键	Tabjian	0
Telegram群	Telegramqun	0
T淋巴细胞	Tlinbaxibao	0
T台	Ttai	0
T细胞	Txibao	0
T型台	Txingtai	0
T恤	Txu	0
T恤衫	Txushan	0
UIM卡	UIMka	0
USB接口	USBjiekou	0
USB口	USBkou	0
USB线	USBxian	0
USIM卡	USIMka	0
UU加速器	UUjiasuqi	0
U盾	Udun	0
U盘	Upan	0
Up主	Upzhu	0
U形	Uxing	0
U形管	Uxingguan	0
U型锁	Uxingsuo	0
VIP会员	VIPhuiyuan	0
VIP卡	VIPka	0
VIP中P	VIPzhongP	0
V8引擎	Vbayinqing	0
V怪客	Vguaike	0
V领	Vling	0
V煞	Vsha	0
V社	Vshe	0
V站	Vzhan	0
V字仇杀队	Vzichoushadui	0
V字领	Vziling	0
V字形	Vzixing	0
Web版	Webban	0
Web版本	Webbanben	0
Web端	Webduan	0
Web开发	Webkaifa	0
Wi-Fi密码	WiFimima	0
Win版	Winban	0
Win版本	Winbanben	0
Windows版	Windowsban	0
Windows版本	Windowsbanben	0
Windows端	Windowsduan	0
Win端	Winduan	0
X档案	Xdangan	0
X刀	Xdao	0
X·德雷克	Xdeleike	0
X光	Xguang	0
X光片	Xguangpian	0
X和Y	XheY	0
X教授	Xjiaoshou	0
X染色体	Xranseti	0
X射线	Xshexian	0
X战警	Xzhanjing	0
X轴	Xzhou	0
YY语音	YYyuyin	0
Y染色体	Yranseti	0
Y轴	Yzhou	0
Z轴	Zzhou	0
阿Q	aQ	0
阿Q精神	aQjingshen	0
阿Q正传	aQzhengzhuan	0
阿Sir	aSir	0
AAA级	aaaji	0
AA吧	aaba	0
AA制	aazhi	0
A班	aban	0
A杯	abei	0
AB型	abxing	0
AB型血	abxingxue	0
AB血型	abxuexing	0
A出口	achukou	0
AD钙奶	adgainai	0
A点	adian	0
A栋	adong	0
A股	agu	0
A和B	aheb	0
艾AA	aiAA	0
艾AA	aiaa	0
A级	aji	0
A卡	aka	0
A壳	ake	0
A口	akou	0
A款	akuan	0
A楼	alou	0
A面	amian	0
Android版	androidban	0
Android版本	androidbanben	0
Android端	androidduan	0
A盘	apan	0
A片	apian	0
A屏	aping	0
阿Q	aq	0
阿Q精神	aqjingshen	0
A区	aqu	0
阿Q正传	aqzhengzhuan	0
ASCII码	asciima	0
阿Sir	asir	0
A4腰	asiyao	0
A4纸	asizhi	0
A塔	ata	0
ATM机	atmji	0
AV女优	avnvyou	0
A型	axing	0
A型号	axinghao	0
A型血	axingxue	0
A血型	axuexing	0
A杖	azhang	0
A罩	azhao	0
A罩杯	azhaobei	0
A组	azu	0
A座	azuo	0
芭比Q	babiQ	0
芭比Q了	babiQle	0
芭比Q	babiq	0
芭比Q了	babiqle	0
Backspace键	backspacejian	0
B班	bban	0
B杯	bbei	0
BB机	bbji	0
B超	bchao	0
B出口	bchukou	0
B点	bdian	0
B栋	bdong	0
Beta版	betaban	0
Beta版本	betabanben	0
B哥	bge	0
B股	bgu	0
Big胆	bigdan	0
B级	bji	0
B壳	bke	0
B口	bkou	0
B款	bkuan	0
B淋巴细胞	blinbaxibao	0
B楼	blou	0
B面	bmian	0
BOSS直聘	bosszhipin	0
波特卡斯·D·艾斯	botekasiDaisi	0
波特卡斯·D·艾斯	botekasidaisi	0
B盘	bpan	0
B区	bqu	0
不OK	buOK	0
不OK	buok	0
B细胞	bxibao	0
B型	bxing	0
B型号	bxinghao	0
B型血	bxingxue	0
B血型	bxuexing	0
B站	bzhan	0
B罩	bzhao	0
B罩杯	bzhaobei	0
B组	bzu	0
B座	bzuo	0
Caps键	capsjian	0
CapsLock键	capslockjian	0
C班	cban	0
C杯	cbei	0
C出口	cchukou	0
C栋	cdong	0
查IP	chaIP	0
查bug	chabug	0
查IP	chaip	0
唱K	changK	0
唱K	changk	0
炒CP	chaoCP	0
炒CP	chaocp	0
充Q币	chongQbi	0
充Q币	chongqbi	0
Chrome系	chromexi	0
Chromium系	chromiumxi	0
Cinity厅	cinityting	0
city不city	citybucity	0
C级	cji	0
C壳	cke	0
C口	ckou	0
C款	ckuan	0
C楼	clou	0
C罗	cluo	0
Cmd键	cmdjian	0
C面	cmian	0
Command键	commandjian	0
Control键	controljian	0
C盘	cpan	0
C区	cqu	0
CT检查	ctjiancha	0
Ctrl键	ctrljian	0
川A	cuanA	0
川B	cuanB	0
川C	cuanC	0
川D	cuanD	0
川E	cuanE	0
川F	cuanF	0
川H	cuanH	0
川J	cuanJ	0
川K	cuanK	0
川L	cuanL	0
川M	cuanM	0
川Q	cuanQ	0
川R	cuanR	0
川S	cuanS	0
川T	cuanT	0
川U	cuanU	0
川V	cuanV	0
川W	cuanW	0
川X	cuanX	0
川Y	cuanY	0
川Z	cuanZ	0
C型	cxing	0
C型号	cxinghao	0
C语言	cyuyan	0
C罩	czhao	0
C罩杯	czhaobei	0
C组	czu	0
C座	czuo	0
大V	daV	0
打call	dacall	0
单边z变换	danbianzbianhuan	0
大V	dav	0
D班	dban	0
D杯	dbei	0
D出口	dchukou	0
D栋	ddong	0
DDoS攻击	ddosgongji	0
Delete键	deletejian	0
Del键	deljian	0
第N次	diNci	0
第N次	dinci	0
DJ版	djban	0
D级	dji	0
DJ舞曲	djwuqu	0
D壳	dke	0
D口	dkou	0
D款	dkuan	0
D楼	dlou	0
D面	dmian	0
DNA检测	dnajiance	0
DNS劫持	dnsjiechi	0
DNS污染	dnswuran	0
Dock栏	docklan	0
DoS攻击	dosgongji	0
逗B	douB	0
逗B	doub	0
D盘	dpan	0
D区	dqu	0
多边兽Z	duobianshouZ	0
多边兽Z	duobianshouz	0
哆啦A梦	duolaAmeng	0
哆啦A梦	duolaameng	0
DVD版	dvdban	0
D型	dxing	0
D型号	dxinghao	0
D罩	dzhao	0
D罩杯	dzhaobei	0
D之国	dzhiguo	0
D之一族	dzhiyizu	0
D组	dzu	0
D座	dzuo	0
鄂A	eA	0
鄂B	eB	0
鄂C	eC	0
鄂D	eD	0
鄂E	eE	0
鄂F	eF	0
鄂G	eG	0
鄂H	eH	0
鄂J	eJ	0
鄂K	eK	0
鄂L	eL	0
鄂M	eM	0
鄂N	eN	0
鄂P	eP	0
鄂Q	eQ	0
鄂R	eR	0
鄂S	eS	0
E杯	ebei	0
E出口	echukou	0
E栋	edong	0
Eject键	ejectjian	0
E口	ekou	0
E款	ekuan	0
E楼	elou	0
Enter键	enterjian	0
E盘	epan	0
E区	equ	0
二B	erB	0
2D电影	erDdianying	0
2G网络	erGwangluo	0
二B	erb	0
2D电影	erddianying	0
2G网络	ergwangluo	0
Esc键	escjian	0
Eul的神圣法杖	euldeshenshengfazhang	0
E型	exing	0
E型号	exinghao	0
E罩	ezhao	0
E罩杯	ezhaobei	0
e招贷	ezhaodai	0
E组	ezu	0
E座	ezuo	0
发EMS	faEMS	0
发EMS	faems	0
F杯	fbei	0
F出口	fchukou	0
F栋	fdong	0
封IP	fengIP	0
封IP	fengip	0
丰田AE86	fengtianAEbaliu	0
丰田AE86	fengtianaebaliu	0
F口	fkou	0
F款	fkuan	0
F楼	flou	0
Fn键	fnjian	0
F盘	fpan	0
F区	fqu	0
F型	fxing	0
F型号	fxinghao	0
F罩	fzhao	0
F罩杯	fzhaobei	0
F组	fzu	0
F座	fzuo	0
改bug	gaibug	0
甘A	ganA	0
赣A	ganA	0
甘B	ganB	0
赣B	ganB	0
甘C	ganC	0
赣C	ganC	0
